🇭🇰公告:更新11-11-2025🇭🇰,#genre#

如頻道看不到,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
在頻道左右換網源,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
N英超/sport:限付費會員,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
多謝支持/體諒,http://php.jdshipin.com/TVOD/iptv.php?id=fct2



⚽常用频道⚽,#genre#
█████████████████████████████████████████████
TVB翡翠臺,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
TVB翡翠臺,http://php.jdshipin.com/PLTV/iptv.php?id=fct3
TVB翡翠臺,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
TVB翡翠臺,http://php.jdshipin.com/smt.php?id=jade_twn
TVB翡翠臺,http://php.jdshipin.com/TVOD/iptv.php?id=fct
TVB翡翠臺,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct3
TVB翡翠臺,http://php.jdshipin.com:8880/smt.php?id=jade_twn
TVB翡翠臺,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
TVB翡翠臺,http://r.jdshipin.com/62WM7
TVB翡翠臺,http://r.jdshipin.com/qrfbg
TVB翡翠臺,http://116.77.33.98:44330/tsfile/live/1008_1.m3u8
無線新聞,http://php.jdshipin.com/TVOD/iptv.php?id=wxxw
無線新聞,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw

🇭🇰安博(香港),#genre#
█████████████████████████████████████████████
HOY77,https://cdn6.163189.xyz/163189/hoy
HOY78,https://cdn.163189.xyz/163189/hoy78
RTHK31,https://cdn.163189.xyz/163189/rthk31
RTHK32,https://cdn.163189.xyz/163189/rthk32
TVB Plus,https://o11.163189.xyz/stream/tvb/tvbp/
TVB星河,http://o11.163189.xyz/stream/live/tvbxh/
TVB星河,https://o11.163189.xyz/stream/live/tvbxh/
ViuTV,https://cdn.163189.xyz/163189/viu
千禧經典,http://o11.163189.xyz/stream/live/tvbc/
天映頻道,https://o11.163189.xyz/stream/live/typd/
明珠臺,http://cdn6.163189.xyz/163189/mzt
無線新聞臺,https://cdn6.163189.xyz/163189/wxxw
華麗翡翠臺,https://o11.163189.xyz/stream/live/hlt/
翡翠臺,http://cdn6.163189.xyz/163189/fct
鳳凰中文臺,https://cdn6.163189.xyz/163189/fhzw
鳳凰香港臺,https://cdn6.163189.xyz/163189/fhhk
鳳凰資訊臺,https://cdn6.163189.xyz/163189/fhzx
鳳凰電影臺,http://www.liyajun.top:7088/udp/239.253.93.81:6247


🇭🇰易發(香港),#genre#
█████████████████████████████████████████████
MYTV SUPER 1,http://67.220.71.199:2347/livehttpplay?channel_id=13022
TVB PLUS,http://67.220.71.199:2347/livehttpplay?channel_id=30023
TVB PLUS,http://o11.163189.xyz/stream/tvb/tvbp/
TVBJ,http://cdn6.163189.xyz/163189/j1
TVB亞洲武俠,http://cdn6.163189.xyz/163189/yzwx
TVB星河,http://cdn6.163189.xyz/163189/tvbxh
TVB星河,http://o11.163189.xyz/stream/live/tvbxh/
TVB星河,https://cdn10.163189.xyz/stream/163189/xinghe/
TVB星河3,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
TVB翡翠劇集臺,http://cdn6.163189.xyz/163189/tvbd
千禧經典臺,http://o11.163189.xyz/stream/live/tvbc/
天映新加坡,https://cdn10.163189.xyz/stream/163189/typd/
天映經典頻道,http://o11.163189.xyz/stream/live/ccm/
天映經典頻道,https://cdn10.163189.xyz/stream/163189/ccm/
天映頻道,http://o11.163189.xyz/stream/live/typd/
亞洲武俠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
明珠臺,http://67.220.71.199:2347/livehttpplay?channel_id=20125
明珠臺,http://67.220.71.199:2347/livehttpplay?channel_id=30026
明珠臺,http://mytv.cdn.loc.cc/o12.php?id=mzt
明珠臺,http://o11.163189.xyz/stream/tvb/mzt/
娛樂新聞臺,http://cdn6.163189.xyz/163189/ylxw
無線新聞臺,http://67.220.71.199:2347/livehttpplay?channel_id=20123
無線新聞臺,http://67.220.71.199:2347/livehttpplay?channel_id=30024
無線新聞臺,http://cdn6.163189.xyz/163189/wxxw
華麗翡翠臺,http://cdn6.163189.xyz/163189/jade
翡翠壹臺(TVB1),http://cdn6.163189.xyz/163189/tvb1
翡翠臺,http://67.220.71.199:2347/livehttpplay?channel_id=30025
翡翠臺,http://mytv.cdn.loc.cc/o12.php?id=fct
翡翠臺,http://o11.163189.xyz/stream/tvb/fct/
翡翠臺4K,http://o11.163189.xyz/stream/tvb/fct4k/
翡翠臺廣電,http://cdn6.163189.xyz/163189/fct
龍華日韓臺,http://cdn8.163189.xyz/163189/lhrh
龍華偶像,http://cdn8.163189.xyz/163189/lhox
龍華經典臺,http://cdn8.163189.xyz/163189/lhjd
龍華電影,http://cdn8.163189.xyz/163189/lhdy
龍華戲劇,http://cdn8.163189.xyz/163189/lhxj



NOW新聞臺,http://cdn.163189.xyz/163189/now
NOW體育1,http://main.light-ott.net:80/play/live.php?mac=00:1A:79:3A:93:FD&stream=382843&extension=ts&play_token=KANAeecxcz
NOW體育2,http://main.light-ott.net:80/play/live.php?mac=00:1A:79:3A:93:FD&stream=382842&extension=ts&play_token=MCoDoR8s9G
NOW體育3,http://main.light-ott.net:80/play/live.php?mac=00:1A:79:3A:93:FD&stream=382841&extension=ts&play_token=5uiKCGTNCF
NOW體育4,http://main.light-ott.net:80/play/live.php?mac=00:1A:79:3A:93:FD&stream=382840&extension=ts&play_token=eoeYdjrkUg
NOW體育5,http://main.light-ott.net:80/play/live.php?mac=00:1A:79:3A:93:FD&stream=382839&extension=ts&play_token=lu0NOftGgg
NOW體育6,http://main.light-ott.net:80/play/live.php?mac=00:1A:79:3A:93:FD&stream=382838&extension=ts&play_token=WQ4pi5DTy3
NOW體育7,http://main.light-ott.net:80/play/live.php?mac=00:1A:79:3A:93:FD&stream=382837&extension=ts&play_token=rRmhe1TsX7
NOW體育4K1,http://main.light-ott.net:80/play/live.php?mac=00:1A:79:3A:93:FD&stream=382836&extension=ts&play_token=jSAYXQsMoY
NOW體育,http://main.light-ott.net:80/play/live.php?mac=00:1A:79:3A:93:FD&stream=382834&extension=ts&play_token=JBOlpsgTKU


HOY 77,http://67.220.71.199:2347/livehttpplay?channel_id=20152
HOYTV,http://cdn6.163189.xyz/163189/hoy
HOYTV,http://cdn.163189.xyz/163189/hoy
HOY國際財經臺,https://cdn11.163189.xyz/163189/2c86601a7180416e
HOY資訊臺,http://cdn.163189.xyz/163189/hoy78


VIUTV,https://cdn10.163189.xyz/stream/163189/viu/
VIUTV,http://67.220.71.199:2347/livehttpplay?channel_id=20131
VIUTV,http://67.220.71.199:2347/livehttpplay?channel_id=30032
VIUTV6,http://67.220.71.199:2347/livehttpplay?channel_id=20132
VIUTV6,http://67.220.71.199:2347/livehttpplay?channel_id=30033
VIUTV6,https://cdn10.163189.xyz/stream/163189/viu6/

RTHK 31,http://cdn.163189.xyz/163189/rthk31
RTHK 32,http://cdn.163189.xyz/163189/rthk32
RTHK 31,http://67.220.71.199:2347/livehttpplay?channel_id=30066
RTHK 32,http://67.220.71.199:2347/livehttpplay?channel_id=20203
RTHK 32,http://67.220.71.199:2347/livehttpplay?channel_id=30028
RTHK 32,http://67.220.71.199:2347/livehttpplay?channel_id=30067
香港32臺,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
香港33臺,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34臺,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35臺,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8

